taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5729;22/12/2016 14:15:00;240;0;4.75;0;készpénz;
8193;22/12/2016 14:45:00;780;0;8;2;bankkártya;
8636;22/12/2016 17:30:00;480;0;6.5;0;készpénz;
8022;22/12/2016 17:45:00;780;0;9.5;0;készpénz;
1482;22/12/2016 17:45:00;300;0;5.5;0;készpénz;
2457;22/12/2016 20:00:00;960;0;11;0;készpénz;
4092;22/12/2016 23:30:00;240;0;5.25;2;bankkártya;
8232;23/12/2016 00:30:00;540;0;12.25;0;készpénz;
5406;23/12/2016 09:30:00;360;0;6;0;készpénz;
3899;23/12/2016 10:00:00;1560;0;36.5;0;készpénz;
6923;23/12/2016 11:30:00;420;0;7.5;2;bankkártya;
6086;23/12/2016 13:30:00;1080;0;11.5;3.75;bankkártya;
3594;23/12/2016 15:30:00;2400;0;23.5;0;készpénz;
8648;23/12/2016 16:15:00;300;0;5.5;0;készpénz;
6569;23/12/2016 16:45:00;300;0;5.5;0;készpénz;
8016;23/12/2016 17:15:00;240;0;4.75;0;készpénz;
7531;24/12/2016 01:15:00;360;0;6.5;0;készpénz;
1460;24/12/2016 18:45:00;300;0;5.25;1;bankkártya;
1691;24/12/2016 21:15:00;660;0;10.5;0;készpénz;
6775;26/12/2016 01:15:00;420;0;8;0;készpénz;
1811;26/12/2016 13:00:00;360;0;6.75;2;bankkártya;
3514;26/12/2016 19:45:00;420;0;7.25;0;készpénz;
2819;26/12/2016 22:15:00;240;0;5.5;0;készpénz;
505;26/12/2016 22:15:00;600;0;9.25;2;bankkártya;
6544;27/12/2016 16:15:00;1020;0;12;0;készpénz;
1110;27/12/2016 18:00:00;360;0;5.5;0;készpénz;
4325;27/12/2016 23:45:00;420;0;7;2;bankkártya;
2240;28/12/2016 14:45:00;300;0;5.75;0;készpénz;
7622;28/12/2016 15:45:00;900;0;12.75;0;készpénz;
8636;28/12/2016 17:00:00;420;0;7;0;készpénz;
2240;28/12/2016 17:30:00;540;0;7;0;készpénz;
4325;29/12/2016 09:00:00;1020;0;24.75;2;bankkártya;
5901;29/12/2016 10:45:00;660;0;7.75;0;készpénz;
5243;29/12/2016 12:15:00;1380;0;26.5;0;készpénz;
157;29/12/2016 17:30:00;240;0;5;1;bankkártya;
5856;29/12/2016 18:45:00;300;0;5.25;0;készpénz;
5130;29/12/2016 21:00:00;540;0;7.25;0;készpénz;
4560;30/12/2016 00:15:00;180;0;5;0;ingyenes;
1098;30/12/2016 12:45:00;660;0;14.5;2;bankkártya;
3465;30/12/2016 12:45:00;240;0;5;0;készpénz;
4877;30/12/2016 12:45:00;300;0;5.75;2;bankkártya;
8563;30/12/2016 12:45:00;780;0;9;0;készpénz;
4109;30/12/2016 14:15:00;540;0;8.5;2;bankkártya;
7643;30/12/2016 17:00:00;240;0;5;0;készpénz;
3043;30/12/2016 17:45:00;600;0;8.75;2;bankkártya;
4675;30/12/2016 19:00:00;360;0;6.25;3;bankkártya;
1261;30/12/2016 21:00:00;480;0;7.75;2;bankkártya;
8031;30/12/2016 21:00:00;840;0;11.5;2.3;bankkártya;
414;30/12/2016 21:15:00;120;0;4.25;2;bankkártya;
6902;30/12/2016 22:30:00;180;0;4.25;0;készpénz;
812;30/12/2016 23:15:00;540;0;7.5;2;bankkártya;
3649;31/12/2016 00:30:00;420;0;7;0;készpénz;
6513;31/12/2016 01:00:00;240;0;5.25;4;bankkártya;
2388;31/12/2016 02:30:00;180;0;4.75;0;készpénz;
684;31/12/2016 12:30:00;240;0;5;1;bankkártya;
3799;31/12/2016 14:15:00;240;0;5.5;0;készpénz;
547;31/12/2016 16:00:00;300;0;3.25;0;készpénz;
8274;31/12/2016 16:15:00;720;0;9.75;2.15;bankkártya;
2538;31/12/2016 17:15:00;540;0;6.75;0;készpénz;
1164;31/12/2016 19:30:00;240;0;5.25;0;készpénz;
4119;31/12/2016 19:45:00;1440;0;18;0;készpénz;
3612;31/12/2016 21:30:00;1200;0;16;0;készpénz;
4638;31/12/2016 22:45:00;2400;0;44;11.25;bankkártya;
